Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,CONST.,NGC DESIGNATION,OTHER NAME(S),R.A.,DEC.,MAG_500,MAX SZ,MIN SZ,Name catalog_500,Name number_500,Types_OpenNGC,Best_500,Notes
NGC0247,G,00:47:08.55,-20:45:37.4,Cet,19.68,5.55,9.21,,,,,NGC,0247,NGC 247,,,247.0,Caldwell,C 062,C 62,C 62,247,Sp,,8.9,00:47:06,-20.77,20.0,7.0,,,247.0,NGC 247,True,Cet,NGC247,ESO 540-22        ,00 47.1,-20 46,9.1,21.0,5.6,NGC,247.0,G,True,large_dso
NGC2477,OCl,07:52:09.78,-38:31:59.7,Pup,18.6,,5.8,,,,,NGC,2477,NGC 2477,,,2477.0,Caldwell,C 071,C 71,C 71,2477,Oc,,5.8,07:52:18,-38.55,27.0,27.0,,,2477.0,NGC 2477,True,Pup,NGC2477,TERMITE HOLE CLUSTER      ,07 52.2,-38 32,5.8,20.0,20.0,NGC,2477.0,OCl,True,large_dso
NGC2516,OCl,07:58:07.06,-60:45:12.5,Car,24.3,,3.8,,,,,NGC,2516,NGC 2516,,,2516.0,Caldwell,C 096,C 96,C 96,2516,Oc,,3.8,07:58:18,-60.87,30.0,30.0,,,2516.0,NGC 2516,True,,,,,,,,,,,,,large_dso
NGC2520,OCl,08:04:58.18,-28:08:48.0,Pup,9.3,,6.5,,2527,,,NGC,2520,NGC 2520,,,2520.0,NGC,NGC 2527,NGC 2520,NGC 2527,2520,OC,,6,08:05:18,-27.83,22.0,22.0,,,2520.0,NGC 2520,True,,,,,,,,,,,,,large_dso
NGC2539,OCl,08:10:36.98,-12:49:14.4,Pup,12.3,,6.5,,,,,NGC,2539,NGC 2539,,,2539.0,NGC,NGC 2539,NGC 2539,NGC 2539,2539,OC,,6,08:10:42,-11.17,22.0,22.0,,,2539.0,NGC 2539,True,Pup,NGC2539,THE DISH CLUSTER,08 10.6,-12 49,6.5,15.0,15.0,NGC,2539.0,OCl,True,large_dso
NGC2546,OCl,08:12:15.63,-37:35:39.5,Pup,16.5,,6.3,,,,,NGC,2546,NGC 2546,,,2546.0,NGC,NGC 2546,NGC 2546,NGC 2546,2546,OC,,6,08:12:24,-36.37,41.0,41.0,,,2546.0,NGC 2546,True,Pup,NGC2546,HEART&DAGGER CLUSTER,08 12.4,-37 37,6.3,70.0,70.0,NGC,2546.0,OCl,True,large_dso
NGC2547,OCl,08:10:09.49,-49:12:20.4,Vel,7.8,,4.7,,,,,NGC,2547,NGC 2547,,,2547.0,NGC,NGC 2547,NGC 2547,NGC 2547,2547,OC,,4,08:10:42,-48.73,20.0,20.0,,,2547.0,NGC 2547,True,,,,,,,,,,,,,large_dso
NGC2736,HII,09:00:16.94,-45:56:53.0,Vel,30.0,7.0,,,,,Pencil Nebula,NGC,2736,NGC 2736,,,2736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC0281,HII,00:52:59.35,+56:37:18.8,Cas,35.0,30.0,,,,0011,,NGC,0281,NGC 281,,,281.0,NGC,NGC 281,NGC 281,NGC 281,281,C+N,,7,00:52:48,56.62,35.0,35.0,,,281.0,NGC 281,True,Cas,NGC281,"IC  11, PacMan Nebula w/OC IC1590""  ",00 53.0,+56 37,7.4,4.0,4.0,NGC,281.0,Cl+N,True,large_dso
NGC0292,G,00:52:44.78,-72:49:43.0,Tuc,299.92,179.89,2.3,,,,Small Magellanic Cloud,NGC,0292,NGC 292,,,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC0300,G,00:54:53.48,-37:41:03.8,Scl,19.41,13.06,8.66,,,,,NGC,0300,NGC 300,,,300.0,Caldwell,C 070,C 70,C 70,300,Sp,,8.1,00:54:54,-37.68,20.0,13.0,,,300.0,NGC 300,True,Scl,NGC300,ESO 295-20        ,00 54.9,-37 41,8.1,19.3,13.3,NGC,300.0,G,True,large_dso
NGC3114,OCl,10:02:29.57,-60:07:49.9,Car,12.3,,4.2,,,,,NGC,3114,NGC 3114,,,3114.0,NGC,NGC 3114,NGC 3114,NGC 3114,3114,OC,,4,10:02:42,-59.88,35.0,35.0,,,3114.0,NGC 3114,True,,,,,,,,,,,,,large_dso
NGC3199,Neb,10:17:24.43,-57:55:20.0,Car,20.0,15.0,,,,,,NGC,3199,NGC 3199,,,3199.0,NGC,NGC 3199,NGC 3199,NGC 3199,3199,Nb,,,10:17:06,-56.08,22.0,22.0,,,3199.0,NGC 3199,True,,,,,,,,,,,,,large_dso
NGC3201,GCl,10:17:36.76,-46:24:40.4,Vel,9.6,,8.24,,,,,NGC,3201,NGC 3201,,,3201.0,Caldwell,C 079,C 79,C 79,3201,Gc,,6.7,10:17:36,-46.42,18.0,18.0,,,3201.0,NGC 3201,True,,,,,,,,,,,,,large_dso
NGC3228,OCl,10:21:22.24,-51:43:21.3,Vel,6.6,,6.0,,,,,NGC,3228,NGC 3228,,,3228.0,NGC,NGC 3228,NGC 3228,NGC 3228,3228,OC,,6,10:21:48,-50.28,18.0,18.0,,,3228.0,NGC 3228,True,,,,,,,,,,,,,large_dso
NGC3242,PN,10:24:46.08,-18:38:32.0,Hya,0.42,,7.7,,,,Jupiter's Ghost Nebula,NGC,3242,NGC 3242,,,3242.0,NGC,NGC 3242,NGC 3242,NGC 3242 = C 59,3242,Pl,Ghost of Jupiter,9,10:24:48,-17.37,20.8,20.8,,,3242.0,NGC 3242,True,Hya,NGC3242,THE GHOST OF JUPITER/The CBS Eye/DIAMOND NEB.,10 24.8,-18 39,8.6,0.67,0.58,NGC,3242.0,PN,True,large_dso
NGC3293,OCl,10:35:48.77,-58:13:28.1,Car,5.1,,4.7,,,,,NGC,3293,NGC 3293,,,3293.0,NGC,NGC 3293,NGC 3293,NGC 3293,3293,C+N,,4,10:35:48,-57.77,40.0,40.0,,,3293.0,NGC 3293,True,,,,,,,,,,,,,large_dso
NGC3372,HII,10:45:08.53,-59:52:00.1,Car,120.0,120.0,,,,,"Carina Nebula,eta Car Nebula",NGC,3372,NGC 3372,,,3372.0,Caldwell,C 092,C 92,C 92,3372,Bn,Eta Carinae Nebula,6.2,10:43:48,-59.87,120.0,120.0,,,3372.0,NGC 3372,True,,,,,,,,,,,,,large_dso
NGC3532,OCl,11:05:47.82,-58:46:13.8,Car,12.0,,3.0,,,,Wishing Well Cluster,NGC,3532,NGC 3532,,,3532.0,Caldwell,C 091,C 91,C 91,3532,Oc,,3,11:06:24,-58.67,55.0,55.0,,,3532.0,NGC 3532,True,,,,,,,,,,,,,large_dso
NGC3572,OCl,11:10:19.20,-60:14:54.1,Car,4.08,,6.6,,,,,NGC,3572,NGC 3572,,,3572.0,NGC,NGC 3572,NGC 3572,NGC 3572,3572,C+N,,6,11:10:24,-59.77,20.0,20.0,,,3572.0,NGC 3572,True,,,,,,,,,,,,,large_dso
NGC3576,HII,11:11:31.67,-61:21:46.8,Car,3.0,3.0,,,,,,NGC,3576,NGC 3576,,,3576.0,NGC,NGC 3576,NGC 3576,NGC 3576,3576,Nb,,,11:11:48,-60.62,20.0,20.0,,,3576.0,NGC 3576,True,,,,,,,,,,,,,large_dso
NGC3579,Neb,11:11:59.60,-61:14:35.6,Car,20.0,15.0,,,,,,NGC,3579,NGC 3579,,,3579.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC4236,G,12:16:42.12,+69:27:45.3,Dra,23.5,6.85,9.77,,,,,NGC,4236,NGC 4236,,,4236.0,Caldwell,C 003,C 3,C 3,4236,Sb,,9.7,12:16:42,69.47,21.0,7.0,,,4236.0,NGC 4236,True,,,,,,,,,,,,,large_dso
NGC4372,GCl,12:25:45.38,-72:39:32.7,Mus,12.0,,9.85,,,,,NGC,4372,NGC 4372,,,4372.0,Caldwell,C 108,C 108,C 108,4372,Gc,,7.8,12:25:48,-72.67,19.0,19.0,,,4372.0,NGC 4372,True,,,,,,,,,,,,,large_dso
NGC0457,OCl,01:19:32.65,+58:17:26.5,Cas,7.8,,6.4,,,,Owl Cluster,NGC,0457,NGC 457,,,457.0,,,,,,,,,,,,,,,,,,Cas,NGC457,OWL Cluster/ET Cluster,01 19.5,+58 17,6.4,20.0,20.0,NGC,457.0,OCl,True,large_dso
NGC4631,G,12:42:08.01,+32:32:29.4,CVn,14.45,2.2,9.24,,,,Whale Galaxy,NGC,4631,NGC 4631,,,4631.0,,,,,,,,,,,,,,,,,,Cvn,NGC4631,THE WHALE GALAXY,12 42.1,+32 32,9.2,15.2,2.8,NGC,4631.0,G,True,large_dso
NGC4656,GPair,12:43:57.73,+32:10:05.3,CVn,8.0,,,,,,,NGC,4656,NGC 4656,,,4656.0,,,,,,,,,,,,,,,,,,Cvn,NGC4656/4657,HOCKEY STICK GALAXY/FISHHOOK GALAXY,12 44.0,+32 10,10.5,15.3,2.4,NGC,4656.0,G,True,large_dso
NGC4945,G,13:05:27.48,-49:28:05.6,Cen,23.33,4.03,11.86,,,,,NGC,4945,NGC 4945,,,4945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC5045,*Ass,13:16:47.00,-63:25:00.0,Cen,20.0,11.0,,,,,,NGC,5045,NGC 5045,,,5045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC5128,G,13:25:27.62,-43:01:08.8,Cen,25.88,19.77,7.22,,,,Centaurus A,NGC,5128,NGC 5128,,,5128.0,Caldwell,C 077,C 77,C 77,5128,Px,Centaurus A,7,13:25:30,-43.02,18.0,14.0,,,5128.0,NGC 5128,True,,,,,,,,,,,,,large_dso
NGC5139,GCl,13:26:45.89,-47:28:36.7,Cen,27.0,,5.33,,,,Omega Centauri,NGC,5139,NGC 5139,,,5139.0,Caldwell,C 080,C 80,C 80,5139,Gc,Omega Centauri,3.6,13:26:48,-47.48,36.0,36.0,,,5139.0,NGC 5139,True,,,,,,,,,,,,,large_dso
NGC5299,OCl,13:50:26.26,-59:56:51.8,Cen,4.2,,,,,,,NGC,5299,NGC 5299,,,5299.0,NGC,NGC 5299,NGC 5299,NGC 5299,5299,Ast,,,13:50:24,-58.07,30.0,30.0,,,5299.0,NGC 5299,True,,,,,,,,,,,,,large_dso
NGC5460,OCl,14:07:27.81,-48:20:33.1,Cen,13.2,,5.6,,,,,NGC,5460,NGC 5460,,,5460.0,NGC,NGC 5460,NGC 5460,NGC 5460,5460,OC,,5,14:07:36,-47.68,25.0,25.0,,,5460.0,NGC 5460,True,,,,,,,,,,,,,large_dso
NGC0055,G,00:14:53.60,-39:11:47.9,Scl,29.85,3.05,8.54,,,,,NGC,0055,NGC 55,,,55.0,Caldwell,C 072,C 72,C 72,55,Sb,,8.2,00:14:54,-39.18,32.0,6.0,,,55.0,NGC 55,True,Scl,NGC55,Dunlop 507        ,00 15.1,-39 11,7.9,31.2,5.9,NGC,55.0,G,True,large_dso
NGC5822,OCl,15:04:21.25,-54:23:47.1,Lup,18.0,,6.5,,,,,NGC,5822,NGC 5822,,,5822.0,NGC,NGC 5822,NGC 5822,NGC 5822,5822,OC,,7,15:05:12,-53.65,40.0,40.0,,,5822.0,NGC 5822,True,,,,,,,,,,,,,large_dso
NGC6124,OCl,16:25:20.06,-40:39:13.3,Sco,13.5,,5.8,,,,,NGC,6124,NGC 6124,,,6124.0,Caldwell,C 075,C 75,C 75,6124,Oc,,5.8,16:25:36,-40.67,29.0,29.0,,,6124.0,NGC 6124,True,,,,,,,,,,,,,large_dso
NGC6152,OCl,16:32:45.62,-52:38:38.4,Nor,6.6,,8.1,,,,,NGC,6152,NGC 6152,,,6152.0,NGC,NGC 6152,NGC 6152,NGC 6152,6152,OC,,8,16:32:42,-51.38,30.0,30.0,,,6152.0,NGC 6152,True,,,,,,,,,,,,,large_dso
NGC6188,Neb,16:40:05.84,-48:39:44.2,Ara,20.0,12.0,,,,,Rim Nebula,NGC,6188,NGC 6188,,,6188.0,NGC,NGC 6188,NGC 6188,NGC 6188,6188,Nb,,,16:40:30,-47.22,20.0,20.0,,,6188.0,NGC 6188,True,,,,,,,,,,,,,large_dso
NGC6281,OCl,17:04:41.30,-37:59:06.8,Sco,10.2,,5.4,,,,,NGC,6281,NGC 6281,,,6281.0,NGC,NGC 6281,NGC 6281,NGC 6281,6281,C+N,,5,17:04:48,-36.1,60.0,60.0,,,6281.0,NGC 6281,True,Sco,NGC6281,MOTH WING CLUSTER,17 04.8,-37 53,5.4,8.0,8.0,NGC,6281.0,OCl,True,large_dso
NGC6334,SNR,17:20:49.70,-36:06:09.8,Sco,8.4,,,,,,,NGC,6334,NGC 6334,,,6334.0,NGC,NGC 6334,NGC 6334,NGC 6334,6334,Nb,,,17:20:30,-34.28,40.0,40.0,,,6334.0,NGC 6334,True,,,,,,,,,,,,,large_dso
NGC6357,Cl+N,17:24:43.57,-34:12:04.8,Sco,3.9,,,,,,the War and Peace Nebula,NGC,6357,NGC 6357,,,6357.0,NGC,NGC 6357,NGC 6357,NGC 6357,6357,Nb,,,17:24:36,-33.83,50.0,50.0,,,6357.0,NGC 6357,True,,,,,,,,,,,,,large_dso
NGC6374,OCl,17:34:42.54,-32:34:52.9,Sco,6.9,,5.5,,6383,,,NGC,6374,NGC 6374,,,6374.0,NGC,NGC 6383,NGC 6374,NGC 6383,6374,C+N,,5,17:34:48,-31.43,80.0,80.0,,,6374.0,NGC 6374,True,,,,,,,,,,,,,large_dso
NGC 6383,OCl,17:34:07,-32:35:00.0,Sco,20.0,20.0,5.5,,NGC6383,,6374,NGC,,NGC 6383,,,6383.0,,,,,,,,,,,,,,,,,,Sco,NGC6383,6374,17 34.7,-32 35,5.5,20.0,20.0,NGC,6383.0,OCl,True,large_dso
NGC6397,GCl,17:40:41.36,-53:40:25.3,Ara,15.3,,5.17,,,,,NGC,6397,NGC 6397,,,6397.0,Caldwell,C 086,C 86,C 86,6397,Gc,,5.6,17:40:42,-53.67,26.0,26.0,,,6397.0,NGC 6397,True,,,,,,,,,,,,,large_dso
NGC6416,OCl,17:44:19.99,-32:21:39.6,Sco,6.9,,,,,,,NGC,6416,NGC 6416,,,6416.0,NGC,NGC 6416,NGC 6416,NGC 6416,6416,OC,,5,17:44:24,-31.65,18.0,18.0,,,6416.0,NGC 6416,True,,,,,,,,,,,,,large_dso
NGC6526,Neb,18:04:06.15,-24:26:30.8,Sgr,40.0,40.0,,,,,,NGC,6526,NGC 6526,,,6526.0,NGC,NGC 6526,NGC 6526,NGC 6526,6526,Nb,,,18:02:36,-22.42,40.0,40.0,,,6526.0,NGC 6526,True,,,,,,,,,,,,,large_dso
NGC6530,Cl+N,18:04:31.03,-24:21:29.0,Sgr,6.0,,4.6,,,,,NGC,6530,NGC 6530,,,6530.0,,,,,,,,,,,,,,,,,,Sgr,NGC6530,OCL   19   in Lagoon Nebula(6523)    ,18 04.5,-24 21,4.6,15.0,15.0,NGC,6530.0,OCl,True,large_dso
NGC6559,Neb,18:09:56.85,-24:06:23.0,Sgr,15.0,10.0,,,,,,NGC,6559,NGC 6559,,,6559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC6604,OCl,18:18:02.96,-12:14:35.2,Se2,9.6,,6.5,,,,,NGC,6604,NGC 6604,,,6604.0,NGC,NGC 6604,NGC 6604,NGC 6604,6604,C+N,,6,18:18:06,-11.77,60.0,60.0,,,6604.0,NGC 6604,True,,,,,,,,,,,,,large_dso
NGC0663,OCl,01:46:16.05,+61:13:05.5,Cas,6.0,,7.1,,,,,NGC,0663,NGC 663,,,663.0,,,,,,,,,,,,,,,,,,Cas,NGC663,OCL  333/Lawnmower cluster       ,01 46.3,+61 13,7.1,15.0,15.0,NGC,663.0,OCl,True,large_dso
NGC6633,OCl,18:27:15.23,+06:30:29.6,Oph,12.0,,4.6,,,,,NGC,6633,NGC 6633,,,6633.0,NGC,NGC 6633,NGC 6633,NGC 6633,6633,OC,,4,18:27:42,6.57,27.0,27.0,,,6633.0,NGC 6633,True,Oph,NGC6633,,18 27.2,+06 30,4.6,20.0,20.0,NGC,6633.0,OCl,True,large_dso
NGC6645,OCl,18:32:37.90,-16:53:02.0,Sgr,5.4,,8.5,,,,,NGC,6645,NGC 6645,,,6645.0,,,,,,,,,,,,,,,,,,Sgr,NGC6645,OCL   48          ,18 32.6,-16 53,8.5,15.0,15.0,NGC,6645.0,OCl,True,large_dso
NGC6709,OCl,18:51:18.94,+10:19:07.5,Aql,8.7,,6.7,,,,,NGC,6709,NGC 6709,,,6709.0,,,,,,,,,,,,,,,,,,Aql,NGC6709,OCL  100          ,18 51.5,+10 20,6.7,15.0,15.0,NGC,6709.0,OCl,True,large_dso
NGC6727,RfN,19:01:42.27,-36:52:34.5,CrA,80.0,80.0,,,,,,NGC,6727,NGC 6727,,,6727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC6729,Neb,19:01:55.40,-36:57:27.5,CrA,25.0,20.0,,,,,,NGC,6729,NGC 6729,,,6729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC6744,G,19:09:46.10,-63:51:27.1,Pav,15.67,9.75,9.25,,,,,NGC,6744,NGC 6744,,,6744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC6752,GCl,19:10:51.78,-59:58:54.7,Pav,13.2,,6.28,,6777,,,NGC,6752,NGC 6752,,,6752.0,Caldwell,C 093,C 93,C 93,6752,Gc,,5.4,19:10:54,-59.98,20.0,20.0,,,6752.0,NGC 6752,True,,,,,,,,,,,,,large_dso
NGC6755,OCl,19:07:49.05,+04:15:59.1,Aql,6.0,,7.5,,,,,NGC,6755,NGC 6755,,,6755.0,,,,,,,,,,,,,,,,,,Aql,NGC6755,OCL   96          ,19 07.8,+04 16,7.5,15.0,15.0,NGC,6755.0,OCl,True,large_dso
NGC6774,OCl,19:16:16.30,-16:15:38.5,Sgr,30.0,,,,,,,NGC,6774,NGC 6774,,,6774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC6811,OCl,19:37:17.91,+46:23:19.8,Cyg,7.2,,6.8,,,,,NGC,6811,NGC 6811,,,6811.0,,,,,,,,,,,,,,,,,,Cyg,NGC6811,THE SMOKE RING CLUSTER,19 37.2,+46 23,6.8,15.0,15.0,NGC,6811.0,OCl,True,large_dso
NGC6820,Neb,19:42:28.02,+23:05:17.1,Vul,0.5,0.5,,,,,,NGC,6820,NGC 6820,,,6820.0,NGC,NGC 6820,NGC 6820,NGC 6820,6820,Nb,,,19:43:06,23.28,40.0,40.0,,,6820.0,NGC 6820,True,Vul,NGC6820,LBN  135   w/6823 cluster       ,19 43.1,+23 17,15,40.0,30.0,NGC,6820.0,Cl+N,True,large_dso
NGC6866,OCl,20:03:55.18,+44:09:32.8,Cyg,5.1,,7.6,,,,,NGC,6866,NGC 6866,,,6866.0,,,,,,,,,,,,,,,,,,Cyg,NGC6866,KITE CLUSTER,20 03.9,+44 09,7.6,20.0,10.0,NGC,6866.0,OCl,True,large_dso
NGC6871,OCl,20:05:59.44,+35:46:38.1,Cyg,9.3,,5.2,,,,,NGC,6871,NGC 6871,,,6871.0,NGC,NGC 6871,NGC 6871,NGC 6871,6871,OC,,5,20:05:54,35.78,20.0,20.0,,,6871.0,NGC 6871,True,,,,,,,,,,,,,large_dso
NGC 6885,OCl,20:12:00,+26:29:00.0,Vul,20.0,20.0,8.1,,NGC6885=6882=Collinder416,,OCL  152/20 Vulpeculae Cluster       ,NGC,,NGC 6885,,,6885.0,,,,,,,,,,,,,,,,,,Vul,NGC6885=6882=Collinder416,OCL  152/20 Vulpeculae Cluster       ,20 12.0,+26 29,8.1,20.0,20.0,NGC,6885.0,OCl,True,large_dso
NGC6888,HII,20:12:06.55,+38:21:17.8,Cyg,20.0,10.0,,,,,Crescent Nebula,NGC,6888,NGC 6888,,,6888.0,Caldwell,C 027,C 27,C 27,6888,Bn,Crescent Nebula,7.5,20:12:00,38.35,20.0,10.0,,,6888.0,NGC 6888,True,Cyg,NGC6888,THE CRESCENT NEBULA/THE EAR NEBULA,20 12.8,+38 19,10.0p,20.0,10.0,NGC,6888.0,Neb,True,large_dso
NGC6940,OCl,20:34:26.69,+28:16:57.8,Vul,10.8,,6.3,,,,,NGC,6940,NGC 6940,,,6940.0,NGC,NGC 6940,NGC 6940,NGC 6940,6940,OC,,6,20:34:36,28.3,31.0,31.0,,,6940.0,NGC 6940,True,Vul,NGC6940,MOTHRA CLUSTER,20 34.5,+28 17,6.3,25.0,25.0,NGC,6940.0,OCl,True,large_dso
NGC6960,SNR,20:45:58.18,+30:35:42.5,Cyg,210.0,160.0,,,,,"Veil Nebula,Filamentary Nebula,Western Veil",NGC,6960,NGC 6960,,,6960.0,Caldwell,C 034,C 34,C 34,6960,Sn,West Veil Nebula,-,20:45:42,30.72,70.0,6.0,,,6960.0,NGC 6960,True,,,,,,,,,,,,,large_dso
NGC6960,SNR,20:45:58.18,+30:35:42.5,Cyg,210.0,160.0,,,,,"Veil Nebula,Filamentary Nebula,Western Veil",NGC,6960,NGC 6960,,,6960.0,NGC,NGC 6960,NGC 6960,NGC 6960 = C 34,6960,Nb,Filamentary nebula,,20:45:42,30.72,70.0,70.0,,,6960.0,NGC 6960,True,,,,,,,,,,,,,large_dso
NGC6991,OCl,20:54:52.00,+47:27:42.0,Cyg,23.0,,,,,,,NGC,6991,NGC 6991,,,6991.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC6992,SNR,20:56:19.07,+31:44:33.9,Cyg,60.0,8.0,,,,,"Eastern Veil,Network Nebula",NGC,6992,NGC 6992,,,6992.0,Caldwell,C 033,C 33,C 33,6992,Sn,East Veil Nebula,-,20:56:24,31.72,60.0,8.0,,,6992.0,NGC 6992,True,Cyg,NGC6992/6995/6960/6979,"VEIL NEBULA/THE WITCH BROOM,BRIDALVEIL, ETC",20 56.4,+31 43,7,60.0,8.0,NGC,6992.0,SNR,True,large_dso
NGC6992,SNR,20:56:19.07,+31:44:33.9,Cyg,60.0,8.0,,,,,"Eastern Veil,Network Nebula",NGC,6992,NGC 6992,,,6992.0,NGC,NGC 6992,NGC 6992,NGC 6992 = C 33,6992,Nb,Network nebula,,20:56:24,31.72,60.0,60.0,,,6992.0,NGC 6992,True,Cyg,NGC6992/6995/6960/6979,"VEIL NEBULA/THE WITCH BROOM,BRIDALVEIL, ETC",20 56.4,+31 43,7,60.0,8.0,NGC,6992.0,SNR,True,large_dso
NGC7000,HII,20:59:17.14,+44:31:43.6,Cyg,120.0,30.0,,,,,North America Nebula,NGC,7000,NGC 7000,,,7000.0,Caldwell,C 020,C 20,C 20,7000,Bn,North America Nebula,6,20:58:48,44.33,120.0,100.0,,,7000.0,NGC 7000,True,,,,,,,,,,,,,large_dso
NGC7023,Neb,21:01:35.62,+68:10:10.4,Cep,10.0,8.0,,,,,Iris Nebula,NGC,7023,NGC 7023,,,7023.0,Caldwell,C 004,C 4,C 4,7023,Bn,Iris Nebula,6.8,21:01:48,68.2,18.0,18.0,,,7023.0,NGC 7023,True,,,,,,,,,,,,,large_dso
NGC7039,OCl,21:10:47.80,+45:37:18.5,Cyg,7.8,,7.6,,,,,NGC,7039,NGC 7039,,,7039.0,NGC,NGC 7039,NGC 7039,NGC 7039,7039,OC,,7,21:11:12,45.65,25.0,25.0,,,7039.0,NGC 7039,True,,,,,,,,,,,,,large_dso
NGC7082,OCl,21:29:17.74,+47:07:34.6,Cyg,9.0,,7.2,,,,,NGC,7082,NGC 7082,,,7082.0,NGC,NGC 7082,NGC 7082,NGC 7082,7082,OC,,7,21:29:24,47.08,25.0,25.0,,,7082.0,NGC 7082,True,,,,,,,,,,,,,large_dso
NGC7209,OCl,22:05:07.84,+46:29:00.7,Lac,6.0,,7.7,,,,,NGC,7209,NGC 7209,,,7209.0,NGC,NGC 7209,NGC 7209,NGC 7209,7209,OC,,6,22:05:12,46.5,25.0,25.0,,,7209.0,NGC 7209,True,Lac,NGC7209,THE STAR LIZARD CLUSTER/drunken lizard cluster,22 05.1,+46 29,7.7,15.0,15.0,NGC,7209.0,OCl,True,large_dso
NGC7243,OCl,22:15:08.58,+49:53:51.0,Lac,15.0,,6.4,,,,,NGC,7243,NGC 7243,,,7243.0,Caldwell,C 016,C 16,C 16,7243,Oc,,6.4,22:15:18,49.88,21.0,21.0,,,7243.0,NGC 7243,True,Lac,NGC7243,OCL  221          ,22 15.1,+49 54,6.4,30.0,30.0,NGC,7243.0,OCl,True,large_dso
NGC7293,PN,22:29:38.57,-20:50:14.4,Aqr,16.33,,7.3,,,,Helix Nebula,NGC,7293,NGC 7293,,,7293.0,,,,,,,,,,,,,,,,,,Aqr,NGC7293,The Helix Nebula/The Sunflower Nebula,22 29.6,-20 50,6.3,16.0,12.0,NGC,7293.0,PN,True,large_dso
NGC7380,Cl+N,22:47:21.01,+58:07:56.7,Cep,25.0,20.0,7.2,,,,,NGC,7380,NGC 7380,,,7380.0,NGC,NGC 7380,NGC 7380,NGC 7380,7380,C+N,,7,22:47:00,58.1,25.0,25.0,,,7380.0,NGC 7380,True,Cep,NGC7380,OCL  244          ,22 47.4,+58 08,7.2,20.0,20.0,NGC,7380.0,OCl,True,large_dso
NGC0752,OCl,01:57:34.82,+37:50:00.2,And,39.0,,5.7,,,,,NGC,0752,NGC 752,,,752.0,Caldwell,C 028,C 28,C 28,752,Oc,,5.7,01:57:48,37.68,50.0,50.0,,,752.0,NGC 752,True,,,,,,,,,,,,,large_dso
NGC7635,HII,23:20:45.60,+61:12:44.5,Cas,15.0,8.0,,,,,Bubble Nebula,NGC,7635,NGC 7635,,,7635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,large_dso
NGC7762,OCl,23:50:01.75,+68:02:16.7,Cep,6.5,,,,,,,NGC,7762,NGC 7762,,,7762.0,,,,,,,,,,,,,,,,,,Cep,NGC7762,OCL  280          ,23 49.9,+68 01,10,15.0,15.0,NGC,7762.0,OCl,True,large_dso
NGC7789,OCl,23:57:24.06,+56:42:29.8,Cas,14.4,,6.7,,,,,NGC,7789,NGC 7789,,,7789.0,,,,,,,,,,,,,,,,,,Cas,NGC7789,Ghost cluster/Star Mist cluster/Caroline's cluster,23 57.5,+56 43,6.7,25.0,25.0,NGC,7789.0,OCl,True,large_dso
NGC7822,HII,00:03:35.35,+67:09:41.9,Cep,20.0,4.0,,,,,,NGC,7822,NGC 7822,,,7822.0,NGC,NGC 7822,NGC 7822,NGC 7822,7822,Nb,,,00:03:36,68.62,60.0,60.0,,,7822.0,NGC 7822,True,,,,,,,,,,,,,large_dso
NGC0869,OCl,02:18:58.56,+57:07:02.1,Per,14.4,,3.7,,,,h Persei Cluster,NGC,0869,NGC 869,,,869.0,NGC,NGC 869,NGC 869,NGC 869 = C 14,869,OC,Double cluster,4,02:19:00,57.15,30.0,30.0,,,869.0,NGC 869,True,Per,NGC869,PERSEUS DOUBLE CLUSTER,02 19.1,+57 08,5.3,18.0,18.0,NGC,869.0,OCl,True,large_dso
NGC0884,OCl,02:22:32.10,+57:08:38.8,Per,10.5,,3.8,,,,chi Persei Cluster,NGC,0884,NGC 884,,,884.0,NGC,NGC 884,NGC 884,NGC 884 / C 14,884,OC,Double cluster,4,02:22:24,57.12,30.0,30.0,,,884.0,NGC 884,True,Per,NGC884,PERSEUS DOUBLE CLUSTER,02 22.1,+57 08,6.1,18.0,18.0,NGC,884.0,OCl,True,large_dso
